CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,latitude,longitude,CaseCategoryID,GravityOffenceID,CaseStatusID,CrimeType,BriefFacts
30,100231171202600030,202600030,2025-10-22,1171,16.724804,77.179227,3,2,3,Cybercrime,"Fraudster contacted the victim from +918222971316 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹35444 was debited from their SBI account."
31,100061060202600031,202600031,2025-05-07,1060,15.402151,75.059074,1,2,3,Others,Miscellaneous complaint registered regarding public nuisance and damage to public property.
32,100041036202600032,202600032,2026-01-07,1036,12.866368,74.958177,1,2,2,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
33,100011008202600033,202600033,2024-04-30,1008,12.992446,77.596376,1,1,1,Fraud/Cheating,The accused posed as a real estate agent and collected ₹345884 as advance for a site. Later it was found the documents were forged.
34,100081073202600034,202600034,2024-04-09,1073,15.042542,76.959599,1,2,4,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹136738 and cash were stolen.
35,100051044202600035,202600035,2026-06-13,1044,15.966918,74.49155,1,2,3,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹51545 and cash were stolen.
36,100041042202600036,202600036,2024-12-08,1042,12.912178,74.92901,1,2,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹177308 and cash were stolen.
37,100031026202600037,202600037,2026-04-09,1026,12.276356,76.564659,1,2,1,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1291289 to UPI ID user160@ybl. When trying to withdraw, the scammers vanished."
38,100011006202600038,202600038,2024-11-24,1006,12.908828,77.610857,1,2,2,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
39,100191152202600039,202600039,2024-01-31,1152,12.798811,75.080703,1,1,4,Robbery/Dacoity,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
40,100011001202600040,202600040,2025-01-19,1001,12.98558,77.484651,1,2,1,Cybercrime,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹335758 to clear their name.
41,100081075202600041,202600041,2024-09-17,1075,15.103829,76.929595,1,2,2,Fraud/Cheating,The accused posed as a real estate agent and collected ₹884256 as advance for a site. Later it was found the documents were forged.
42,100261193202600042,202600042,2025-08-06,1193,16.257927,75.63915,3,1,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹237436 and cash were stolen.
43,100011011202600043,202600043,2024-07-07,1011,13.035401,77.615871,1,2,1,Robbery/Dacoity,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
44,100061052202600044,202600044,2025-10-14,1052,15.385264,75.149826,1,2,3,Murder/Attempt,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
45,100031032202600045,202600045,2025-02-23,1032,12.318176,76.674918,3,2,1,Fraud/Cheating,The accused posed as a real estate agent and collected ₹664315 as advance for a site. Later it was found the documents were forged.
46,100011015202600046,202600046,2024-05-14,1015,13.030854,77.613933,1,2,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹168175 and cash were stolen.
47,100201154202600047,202600047,2026-01-27,1154,12.800161,77.203813,1,1,4,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹763742 to UPI ID invest169@okicici. When trying to withdraw, the scammers vanished."
48,100011012202600048,202600048,2025-09-23,1012,12.949977,77.53332,1,2,3,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
49,100011004202600049,202600049,2025-09-20,1004,13.056594,77.506749,1,2,4,Fraud/Cheating,The accused posed as a real estate agent and collected ₹421080 as advance for a site. Later it was found the documents were forged.
50,100041039202600050,202600050,2025-12-05,1039,13.005861,74.840392,1,2,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹81629 and cash were stolen.
51,100011012202600051,202600051,2026-01-22,1012,12.958714,77.526681,1,1,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹204556 and cash were stolen.
52,100011003202600052,202600052,2025-04-14,1003,13.000715,77.612121,1,2,2,Cybercrime,"Fraudster contacted the victim from +916551437149 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹22977 was debited from their SBI account."
53,100121100202600053,202600053,2024-01-20,1100,13.317133,77.133557,1,1,4,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
54,100031025202600054,202600054,2025-09-14,1025,12.326018,76.619824,1,2,4,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
55,100011004202600055,202600055,2024-07-03,1004,13.046683,77.515833,1,2,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
56,100241179202600056,202600056,2025-10-28,1179,15.420434,75.73199,1,2,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹212798 and cash were stolen.
57,100011002202600057,202600057,2024-08-31,1002,12.906713,77.537262,1,1,1,Cybercrime,"Fraudster contacted the victim from +919266761413 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹15258 was debited from their SBI account."
58,100091083202600058,202600058,2025-12-06,1083,16.211639,77.426199,1,2,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹119351 and cash were stolen.
59,100041036202600059,202600059,2025-02-16,1036,12.839153,74.931219,1,2,2,Murder/Attempt,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
60,100011002202600060,202600060,2025-12-29,1002,12.926625,77.538994,1,1,2,Fraud/Cheating,The accused posed as a real estate agent and collected ₹385470 as advance for a site. Later it was found the documents were forged.
61,100011005202600061,202600061,2024-02-10,1005,12.974015,77.520542,1,1,1,Cybercrime,"Fraudster contacted the victim from +917064746525 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹43477 was debited from their SBI account."
62,100121106202600062,202600062,2026-03-17,1106,13.367168,77.127349,1,2,1,Fraud/Cheating,The accused posed as a real estate agent and collected ₹391668 as advance for a site. Later it was found the documents were forged.
63,100011006202600063,202600063,2025-05-13,1006,12.901761,77.592137,1,2,2,Fraud/Cheating,The accused posed as a real estate agent and collected ₹999398 as advance for a site. Later it was found the documents were forged.
64,100131107202600064,202600064,2025-12-07,1107,12.927572,76.162788,1,2,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹80388 and cash were stolen.
65,100041040202600065,202600065,2024-03-25,1040,12.867016,74.803008,1,1,1,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1355757 to UPI ID user160@ybl. When trying to withdraw, the scammers vanished."
66,100011015202600066,202600066,2026-01-22,1015,13.04949,77.607775,1,2,1,Cybercrime,"Fraudster contacted the victim from +916274989148 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹20682 was debited from their SBI account."
67,100191146202600067,202600067,2025-12-17,1146,12.87178,75.121321,1,2,2,Others,Miscellaneous complaint registered regarding public nuisance and damage to public property.
68,100031031202600068,202600068,2025-01-13,1031,12.379491,76.655024,1,2,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
69,100011013202600069,202600069,2025-10-06,1013,13.063353,77.574741,1,1,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹256495 and cash were stolen.
70,100311227202600070,202600070,2024-08-18,1227,14.30663,76.321713,1,2,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹176967 and cash were stolen.
71,100011012202600071,202600071,2025-01-05,1012,12.928992,77.536718,1,2,3,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
72,100171135202600072,202600072,2024-08-24,1135,13.316895,75.741229,1,2,3,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
73,100031032202600073,202600073,2025-12-10,1032,12.313381,76.662497,1,2,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹278309 and cash were stolen.
74,100081071202600074,202600074,2025-05-25,1071,15.103355,76.829405,1,2,3,Kidnapping,A minor went missing from outside their school. Witnesses reported seeing them being forced into a white van.
75,100221165202600075,202600075,2024-04-16,1165,13.10149,78.042056,1,2,3,Cybercrime,"Fraudster contacted the victim from +916909666337 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹19908 was debited from their SBI account."
76,100031028202600076,202600076,2024-02-14,1028,12.319746,76.658453,1,2,2,Cybercrime,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹163809 to clear their name.
77,100011003202600077,202600077,2024-05-02,1003,13.023682,77.619573,3,1,2,Fraud/Cheating,The accused posed as a real estate agent and collected ₹501126 as advance for a site. Later it was found the documents were forged.
78,100011005202600078,202600078,2024-01-15,1005,12.972032,77.507663,1,2,1,Narcotics,"During a raid, police apprehended a suspect carrying 338 grams of MDMA intended for distribution among college students."
79,100051050202600079,202600079,2025-01-23,1050,15.936001,74.589831,3,1,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
80,100011005202600080,202600080,2025-04-03,1005,12.936308,77.515162,1,2,4,Cybercrime,"Fraudster contacted the victim from +919062092518 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹22988 was debited from their SBI account."
81,100121103202600081,202600081,2024-12-23,1103,13.426024,77.006277,1,2,2,Fraud/Cheating,The accused posed as a real estate agent and collected ₹767542 as advance for a site. Later it was found the documents were forged.
82,100011002202600082,202600082,2024-03-02,1002,12.907941,77.533836,1,2,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹165559 and cash were stolen.
83,100021019202600083,202600083,2024-07-24,1019,13.373339,77.562138,1,1,1,Robbery/Dacoity,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
84,100251186202600084,202600084,2025-04-03,1186,14.844196,75.416058,4,1,4,Robbery/Dacoity,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
85,100211164202600085,202600085,2025-09-09,1164,13.497847,77.726391,1,1,2,Others,Miscellaneous complaint registered regarding public nuisance and damage to public property.
86,100031028202600086,202600086,2026-06-27,1028,12.343019,76.64556,1,1,3,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹217391 and cash were stolen.
87,100041043202600087,202600087,2024-12-09,1043,12.910356,74.791952,1,1,4,Fraud/Cheating,The accused posed as a real estate agent and collected ₹586819 as advance for a site. Later it was found the documents were forged.
88,100011008202600088,202600088,2024-06-29,1008,12.999723,77.610407,1,2,2,Cybercrime,"Fraudster contacted the victim from +916551437149 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹30470 was debited from their SBI account."
89,100111093202600089,202600089,2025-10-06,1093,14.013351,75.57065,4,1,1,Fraud/Cheating,The accused posed as a real estate agent and collected ₹974190 as advance for a site. Later it was found the documents were forged.
90,100031027202600090,202600090,2025-07-17,1027,12.265264,76.732524,1,1,4,Cybercrime,"Fraudster contacted the victim from +918962958940 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹40682 was debited from their SBI account."
91,100281209202600091,202600091,2025-12-07,1209,16.876454,75.680489,1,1,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹217639 and cash were stolen.
92,100041035202600092,202600092,2026-05-10,1035,12.891979,74.80269,1,2,1,Cybercrime,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹436273 to clear their name.
93,100201154202600093,202600093,2024-07-20,1154,12.796889,77.180163,3,1,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
94,100151125202600094,202600094,2025-05-17,1125,12.419982,75.870093,1,2,3,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹159888 to UPI ID scammer39@paytm. When trying to withdraw, the scammers vanished."
95,100031025202600095,202600095,2025-12-03,1025,12.304672,76.623695,3,2,2,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
96,100291210202600096,202600096,2026-01-14,1210,15.262462,76.084337,1,2,3,Murder/Attempt,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
97,100011003202600097,202600097,2024-04-12,1003,13.020828,77.622947,4,2,2,Cybercrime,"Fraudster contacted the victim from +916090341465 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹43362 was debited from their SBI account."
98,100051045202600098,202600098,2024-06-26,1045,15.773919,74.417882,1,1,2,Kidnapping,A minor went missing from outside their school. Witnesses reported seeing them being forced into a white van.
99,100011006202600099,202600099,2025-12-05,1006,12.912399,77.602275,1,1,4,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹131932 and cash were stolen.
100,100011014202600100,202600100,2024-05-12,1014,12.899701,77.526414,1,2,2,Cybercrime,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹400379 to clear their name.
101,100011002202600101,202600101,2025-09-30,1002,12.944251,77.536159,3,1,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹224415 and cash were stolen.
102,100011002202600102,202600102,2026-06-16,1002,12.912795,77.53853,3,2,2,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
103,100011005202600103,202600103,2026-06-10,1005,12.974966,77.513296,1,2,1,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1822418 to UPI ID invest169@okicici. When trying to withdraw, the scammers vanished."
104,100261195202600104,202600104,2025-02-19,1195,16.230586,75.658834,1,2,2,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1523666 to UPI ID user160@ybl. When trying to withdraw, the scammers vanished."
105,100011003202600105,202600105,2024-02-17,1003,13.015687,77.623576,1,2,3,Cybercrime,"Fraudster contacted the victim from +917138409539 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹29654 was debited from their SBI account."
106,100041035202600106,202600106,2024-03-22,1035,12.860454,74.807273,1,2,2,Cybercrime,"Fraudster contacted the victim from +916297265480 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹49169 was debited from their SBI account."
107,100011009202600107,202600107,2024-06-25,1009,12.907018,77.619592,1,2,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹79069 and cash were stolen.
108,100011010202600108,202600108,2024-03-26,1010,13.018975,77.486121,1,1,3,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹492989 to UPI ID user160@ybl. When trying to withdraw, the scammers vanished."
109,100011007202600109,202600109,2026-04-07,1007,12.879256,77.54109,1,2,3,Fraud/Cheating,The accused posed as a real estate agent and collected ₹624563 as advance for a site. Later it was found the documents were forged.
110,100031031202600110,202600110,2024-04-30,1031,12.396735,76.670336,1,2,1,Kidnapping,A minor went missing from outside their school. Witnesses reported seeing them being forced into a white van.
111,100011006202600111,202600111,2024-09-23,1006,12.920053,77.608952,3,1,3,Murder/Attempt,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
112,100011010202600112,202600112,2025-09-14,1010,13.029317,77.488311,1,2,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
113,100031025202600113,202600113,2026-04-04,1025,12.339174,76.606341,1,2,3,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
114,100011003202600114,202600114,2025-02-01,1003,13.001908,77.647992,1,2,2,Cybercrime,"Fraudster contacted the victim from +918833608204 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹47959 was debited from their SBI account."
115,100051049202600115,202600115,2025-05-06,1049,15.946612,74.495636,1,1,2,Cybercrime,Victim received a video call from someone claiming to be CBI. They were told a FedEx courier with drugs was seized in their name. They transferred ₹255849 to clear their name.
116,100011008202600116,202600116,2024-02-28,1008,13.016147,77.6178,1,2,2,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹210916 to UPI ID invest169@okicici. When trying to withdraw, the scammers vanished."
117,100041034202600117,202600117,2025-11-29,1034,12.865983,74.755281,1,1,1,Narcotics,"During a raid, police apprehended a suspect carrying 392 grams of MDMA intended for distribution among college students."
118,100011015202600118,202600118,2025-06-17,1015,13.024472,77.62119,1,2,4,Others,Miscellaneous complaint registered regarding public nuisance and damage to public property.
119,100031033202600119,202600119,2024-09-03,1033,12.355686,76.690951,1,2,3,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹290631 and cash were stolen.
120,100061053202600120,202600120,2025-05-27,1053,15.308145,75.166255,4,2,1,Cybercrime,"Fraudster contacted the victim from +916863937247 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹23621 was debited from their SBI account."
121,100011011202600121,202600121,2024-08-07,1011,13.051472,77.642167,1,2,4,Narcotics,"During a raid, police apprehended a suspect carrying 258 grams of MDMA intended for distribution among college students."
122,100011007202600122,202600122,2025-05-25,1007,12.883712,77.547526,1,2,2,Murder/Attempt,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
123,100061058202600123,202600123,2026-02-28,1058,15.439581,75.216151,1,2,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹145052 and cash were stolen.
124,100311225202600124,202600124,2024-04-29,1225,14.271469,76.393576,3,2,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹256600 and cash were stolen.
125,100011013202600125,202600125,2024-07-22,1013,13.049213,77.549153,1,2,4,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
126,100101085202600126,202600126,2025-09-30,1085,14.521107,76.013367,1,2,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹238635 and cash were stolen.
127,100041038202600127,202600127,2025-12-29,1038,12.963073,74.854504,1,1,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹227814 and cash were stolen.
128,100041036202600128,202600128,2024-11-06,1036,12.841833,74.934582,1,2,2,Murder/Attempt,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
129,100011014202600129,202600129,2026-03-12,1014,12.881552,77.524468,1,2,1,Kidnapping,A minor went missing from outside their school. Witnesses reported seeing them being forced into a white van.
130,100031027202600130,202600130,2025-12-01,1027,12.231326,76.726811,1,2,1,Narcotics,"During a raid, police apprehended a suspect carrying 312 grams of MDMA intended for distribution among college students."
131,100011015202600131,202600131,2024-06-02,1015,13.047097,77.627,1,1,3,Murder/Attempt,The victim was found murdered in an isolated plot. Preliminary investigation suggests previous enmity as the motive.
132,100081072202600132,202600132,2025-12-29,1072,15.137822,76.856049,1,2,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹70768 and cash were stolen.
133,100031028202600133,202600133,2025-01-04,1028,12.314945,76.666784,1,1,3,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹62517 and cash were stolen.
134,100031032202600134,202600134,2024-01-26,1032,12.296868,76.662066,1,2,1,Fraud/Cheating,The accused posed as a real estate agent and collected ₹702980 as advance for a site. Later it was found the documents were forged.
135,100021017202600135,202600135,2026-03-24,1017,13.282353,77.639465,1,2,2,Others,Miscellaneous complaint registered regarding public nuisance and damage to public property.
136,100011008202600136,202600136,2024-03-08,1008,12.991723,77.584238,1,2,3,Fraud/Cheating,The accused posed as a real estate agent and collected ₹491435 as advance for a site. Later it was found the documents were forged.
137,100061061202600137,202600137,2025-05-31,1061,15.429742,75.11888,1,2,2,Cybercrime,"Complainant was added to a WhatsApp group promising 300% guaranteed returns. They transferred ₹1195073 to UPI ID scammer39@paytm. When trying to withdraw, the scammers vanished."
138,100061054202600138,202600138,2024-04-08,1054,15.268489,75.099017,1,2,1,Fraud/Cheating,The accused posed as a real estate agent and collected ₹579911 as advance for a site. Later it was found the documents were forged.
139,100011007202600139,202600139,2026-04-23,1007,12.858372,77.540244,1,2,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
140,100061056202600140,202600140,2024-07-12,1056,15.437349,75.072679,1,2,1,Robbery/Dacoity,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
141,100011012202600141,202600141,2026-02-11,1012,12.940421,77.537742,1,1,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹259005 and cash were stolen.
142,100181142202600142,202600142,2025-04-01,1142,14.845068,74.74439,1,2,1,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹70989 and cash were stolen.
143,100031031202600143,202600143,2024-03-06,1031,12.410169,76.671994,1,2,3,Robbery/Dacoity,Three unidentified men on a motorcycle intercepted the victim. They threatened with a machete and snatched a gold chain and mobile phone.
144,100011011202600144,202600144,2025-09-23,1011,13.04276,77.620627,1,2,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹260002 and cash were stolen.
145,100031026202600145,202600145,2024-04-14,1026,12.26515,76.583991,1,2,4,Cybercrime,"Fraudster contacted the victim from +918962958940 claiming to be bank staff. They asked to install an APK file. Shortly after, ₹28733 was debited from their SBI account."
146,100011013202600146,202600146,2024-04-29,1013,13.064221,77.55784,1,1,1,Assault/Violent,A group of individuals engaged in a physical altercation near the market. The victim sustained head injuries after being hit with an iron rod.
147,100111095202600147,202600147,2026-03-15,1095,13.828314,75.492691,1,1,2,Theft/Property,Unknown persons broke the front door lock of the house during the night. Gold ornaments worth ₹197239 and cash were stolen.
